Indicator,Result,Interpretation
Study period,2001–2025,25-year climate and vegetation monitoring period
States analysed,19,"North Central, North East and North West Nigeria"
Regional NDVI trend,Significant decline,Sen slope = -0.000777 NDVI units/year; p = 0.0085
Regional EVI trend,Significant decline,Sen slope = -0.000358 EVI units/year; p = 0.0413
Regional rainfall trend,"Increasing, not significant",Sen slope = +2.50 mm/year; p = 0.2012
Regional temperature trend,Significant warming,Sen slope = +0.0154 °C/year; estimated +0.37 °C
States with significant NDVI browning,10,Long-term vegetation degradation signal
States with significant NDVI greening,4,Long-term vegetation improvement signal
Strongest vegetation browning,Niger,-0.003468 NDVI units/year
Strongest vegetation greening,Borno,+0.002495 NDVI units/year
States with significant warming,9,Statistically significant May–October temperature increase
Strongest warming,Kogi,+0.0325 °C/year
States with significant rainfall increase,4,"Jigawa, Bauchi, Borno and Yobe"
Strongest rainfall increase,Yobe,+5.88 mm/year
Very-high compound hotspot states,5,Highest combined drought–vegetation stress
Highest compound hotspot,Kaduna,Score = 80.23
Very-high integrated-pressure states,5,"Nasarawa, Niger, Adamawa, Kaduna and Kwara"
Highest integrated pressure,Nasarawa,Score = 85.01
Browning despite increasing rainfall,7,Indicates vegetation decline not explained by rainfall trend alone
Major compound-stress year,2015,12 states experienced compound drought–vegetation stress
Highest-pressure geopolitical zone,North Central,Mean integrated pressure score = 69.17
