State,Geo_Zone,SPI6_Drought_Years,SPI6_Severe_Drought_Years,Vegetation_Stress_Years,Compound_Drought_Veg_Years,Compound_Severe_Drought_Veg_Years,Severe_Both_Years,Worst_SPI6,Worst_NDVI_Z,Vegetation_Stress_Hotspot_Score,N_DroughtFrequency,N_SevereDrought,N_VegStress,N_CompoundFrequency,N_SevereCompound,Compound_Hotspot_Score,Compound_Hotspot_Class,Rank
Kaduna,North West,8,5,6,3,3,1,-2.398053226383685,-1.8772472736286687,49.50716931460471,0.6666666666666666,0.8,0.4950716931460471,1.0,1.0,80.23476719625428,Very High,1
Niger,North Central,7,5,6,3,3,0,-3.6479922139466354,-1.6148866755276243,51.18143818572549,0.5,0.8,0.5118143818572549,1.0,1.0,77.23628763714511,Very High,2
Benue,North Central,6,4,5,3,3,1,-3.1306967728382498,-1.7148787372445873,46.86561261917583,0.3333333333333333,0.6,0.4686561261917583,1.0,1.0,70.03978919050184,Very High,3
Kebbi,North West,7,6,5,2,2,1,-2.187422844023815,-1.742920646370885,48.10518111093127,0.5,1.0,0.4810518111093127,0.6666666666666666,0.6666666666666666,64.62103622218625,Very High,4
Nasarawa,North Central,10,5,3,2,1,0,-3.33271653920158,-1.755574158508289,37.725673243026094,1.0,0.8,0.3772567324302609,0.6666666666666666,0.3333333333333333,64.54513464860521,Very High,5
Adamawa,North East,8,5,5,2,1,0,-2.560731183097049,-1.5699913376598194,51.458085438770325,0.6666666666666666,0.8,0.5145808543877033,0.6666666666666666,0.3333333333333333,60.6249504210874,High,6
Taraba,North East,7,4,5,2,2,2,-2.982596531544532,-1.8648215089515916,51.49433689068667,0.5,0.6,0.5149433689068666,0.6666666666666666,0.6666666666666666,59.29886737813733,High,7
Sokoto,North West,7,4,2,2,2,1,-2.1454472411972367,-2.05110300626874,40.25130924190727,0.5,0.6,0.40251309241907274,0.6666666666666666,0.6666666666666666,57.05026184838145,High,8
Kwara,North Central,8,3,4,2,1,1,-3.311480982784225,-1.814365885577139,51.55999345668894,0.6666666666666666,0.4,0.5155999345668895,0.6666666666666666,0.3333333333333333,54.64533202467112,High,9
Yobe,North East,6,1,4,3,1,0,-1.6893609351340169,-1.293248767532222,35.642632046572295,0.3333333333333333,0.0,0.356426320465723,1.0,0.3333333333333333,48.795193075981125,Moderate,10
Kogi,North Central,9,5,3,1,0,0,-2.9628490209142093,-1.9386365161925876,42.31604572529592,0.8333333333333334,0.8,0.4231604572529592,0.3333333333333333,0.0,47.12987581172585,Moderate,11
Katsina,North West,9,2,3,1,1,0,-2.566232426448257,-1.6224205740684925,44.38755033607495,0.8333333333333334,0.2,0.44387550336074955,0.3333333333333333,0.3333333333333333,43.544176733881656,Moderate,12
Kano,North West,6,2,5,2,1,1,-2.371499820169683,-2.347847913760132,42.53334085278105,0.3333333333333333,0.2,0.42533340852781054,0.6666666666666666,0.3333333333333333,43.17333483722287,Moderate,13
Zamfara,North West,7,4,3,1,1,1,-1.9360555587896089,-1.516269564901522,41.02457452936819,0.5,0.6,0.41024574529368185,0.3333333333333333,0.3333333333333333,42.204914905873636,Moderate,14
Borno,North East,5,3,4,2,1,0,-1.998069022038615,-1.4577795829273457,35.39609962943375,0.16666666666666666,0.4,0.35396099629433747,0.6666666666666666,0.3333333333333333,41.41255325922008,Lower,15
Gombe,North East,4,1,4,2,0,0,-2.039673772348761,-1.8852035899299653,45.94125678045087,0.0,0.0,0.45941256780450873,0.6666666666666666,0.0,29.188251356090174,Lower,16
Plateau,North Central,5,1,5,1,1,1,-2.586006198925515,-1.894341487534152,44.64099715882582,0.16666666666666666,0.0,0.4464099715882582,0.3333333333333333,0.3333333333333333,27.261532765098494,Lower,17
Bauchi,North East,5,1,3,1,0,0,-2.360899723074789,-2.2385097216987666,41.6747350089248,0.16666666666666666,0.0,0.416747350089248,0.3333333333333333,0.0,21.668280335118297,Lower,18
Jigawa,North West,4,2,3,0,0,0,-2.019833176782282,-2.1690658506787712,33.98892497151584,0.0,0.2,0.33988924971515844,0.0,0.0,9.797784994303168,Lower,19
