State,Geo_Zone,NDVI_SenSlope,NDVI_P,NDVI_Trend,Sen_Slope_mm_per_Year,Rainfall_P,Rainfall_Trend,Sen_Slope_C_per_Year,Temperature_P,Estimated_2001_2025_Change_C,Temperature_Trend,SPI6_Drought_Years,Compound_Drought_Veg_Years,Compound_Hotspot_Score,Compound_Hotspot_Class,Significant_Browning,Significant_Warming,Significant_Rainfall_Increase,High_Drought_Exposure,High_Compound_Hotspot,N_Browning,N_Warming,N_Drought,N_Compound,Integrated_Pressure_Score,Pressure_Class,Rank,Integrated_Interpretation
Nasarawa,North Central,-0.0024784541197397,0.0001588089785793,Significant Browning,4.685063749927394,0.1075560548055647,Increasing — Not Significant,0.0304080174691483,0.0033507212782298,0.7297924192595602,Significant Warming,10,2,64.54513464860521,Very High,True,True,False,True,True,0.8340832694092651,0.954227416177845,1.0,0.6454513464860522,85.01446714887538,Very High,1,Browning + Warming + High Compound Stress
Niger,North Central,-0.0034677170037364,2.8704836098692065e-07,Significant Browning,2.120150200947117,0.3419386032156281,Increasing — Not Significant,0.0251612322373281,0.007344866273,0.6038695736958748,Significant Warming,7,3,77.23628763714511,Very High,True,True,False,True,True,1.0,0.839951850133417,0.5,0.7723628763714511,80.3078681626217,Very High,2,Browning + Warming + High Compound Stress
Adamawa,North East,-0.0031459686589535,6.894808806253613e-08,Significant Browning,-2.4419361446869603,0.3187493522432472,Decreasing — Not Significant,0.0211460704346968,0.0797202618870111,0.5075056904327241,Warming — Not Significant,8,2,60.6249504210874,High,True,False,False,True,True,0.9460371613016694,0.7525011793926062,0.6666666666666666,0.606249504210874,75.68321526247041,Very High,3,Browning + High Drought-Vegetation Stress
Kaduna,North West,-0.0009711426739014,0.0046264872631794,Significant Browning,-0.4408983294608235,0.7993481021210237,Decreasing — Not Significant,0.0233186485808519,0.0054125473270372,0.5596475659404477,Significant Warming,8,3,80.23476719625428,Very High,True,True,False,True,True,0.5812807119483925,0.7998201731112603,0.6666666666666666,0.8023476719625429,70.82595081863019,Very High,4,Browning + Warming + High Compound Stress
Kwara,North Central,-0.0016978622259208,8.331428345950857e-06,Significant Browning,3.365811580671635,0.4448568614280395,Increasing — Not Significant,0.0282356533998539,8.071280240832186e-05,0.6776556815964945,Significant Warming,8,2,54.64533202467112,High,True,True,False,True,True,0.7031643225416557,0.9069130850770324,0.6666666666666666,0.5464533202467112,70.7624231426766,Very High,5,Browning + Warming + High Compound Stress
Taraba,North East,-0.0016442204863462,3.0830988230961115e-05,Significant Browning,-3.1615985773463504,0.1699129540323098,Decreasing — Not Significant,0.0290418479497426,0.0085202367314346,0.6970043507938227,Significant Warming,7,2,59.29886737813733,High,True,True,False,True,True,0.6941676623036204,0.9244720920612964,0.5,0.5929886737813733,68.76154901517536,High,6,Browning + Warming + High Compound Stress
Kogi,North Central,-0.0003429569594763,0.1299414594014237,Browning — Not Significant,-0.926567537790538,0.7288211329394639,Decreasing — Not Significant,0.032509594605305,8.071280240832186e-05,0.7802302705273204,Significant Warming,9,1,47.12987581172585,Moderate,False,True,False,True,False,0.47592295353322367,1.0,0.8333333333333334,0.4712987581172585,67.72682422559484,High,7,Mixed / Moderate Pressure
Kebbi,North West,-0.0021571594409932,1.853872631297424e-05,Significant Browning,0.7903552578039998,0.8352616332525121,Increasing — Not Significant,0.0115358564860011,0.2011567787905394,0.2768605556640275,Warming — Not Significant,7,2,64.62103622218625,Very High,True,False,False,True,True,0.7801965184594564,0.5431896504710632,0.5,0.6462103622218625,63.14089587110683,High,8,Browning + High Drought-Vegetation Stress
Benue,North Central,-0.0006438445267943,0.1699129540323098,Browning — Not Significant,-5.946374351209716,0.0718342231525148,Decreasing — Not Significant,0.028125098690461,0.0014179778893331,0.6750023685710653,Significant Warming,6,3,70.03978919050184,Very High,False,True,False,False,True,0.5263870740944967,0.9045051912074433,0.3333333333333333,0.7003978919050183,62.58085596731311,High,9,Mixed / Moderate Pressure
Plateau,North Central,-0.001355729558929,0.0028388095422278,Significant Browning,3.0057594647471437,0.1183434182454465,Increasing — Not Significant,0.0216997575091966,0.0412595195792603,0.5207941802207205,Significant Warming,5,1,27.261532765098494,Lower,True,True,False,False,False,0.6457826756064844,0.7645605454718991,0.16666666666666666,0.27261532765098495,48.63621042959997,Moderate,10,Browning + Warming
