State,Geo_Zone,Kendall_Tau,P_Value,Sen_Slope_mm_per_Year,Slope_95CI_Lower,Slope_95CI_Upper,Estimated_2001_2025_Change_mm,Trend
Benue,North Central,-0.25999999999999995,0.07183422315251489,-5.946374351209716,-14.046809849467053,0.8850890820385432,-142.71298442903318,Decreasing — Not Significant
Taraba,North East,-0.19999999999999996,0.16991295403230983,-3.1615985773463504,-9.225236311886771,1.4020021475112519,-75.87836585631241,Decreasing — Not Significant
Adamawa,North East,-0.14666666666666664,0.3187493522432472,-2.4419361446869603,-5.815355199966374,3.553109888693484,-58.60646747248705,Decreasing — Not Significant
Kogi,North Central,-0.05333333333333332,0.7288211329394639,-0.9265675377905381,-8.76238004937693,6.86490829454408,-22.237620906972914,Decreasing — Not Significant
Kaduna,North West,-0.03999999999999999,0.7993481021210237,-0.4408983294608235,-5.020814819624272,5.064027563134005,-10.581559907059765,Decreasing — Not Significant
Gombe,North East,0.09333333333333331,0.5321916402283853,0.6837696252610258,-1.293190923101264,3.4897063110730997,16.41047100626462,Increasing — Not Significant
Kebbi,North West,0.033333333333333326,0.8352616332525121,0.7903552578039998,-3.9081818070543983,6.907535478612481,18.968526187295996,Increasing — Not Significant
Zamfara,North West,0.046666666666666655,0.7638450161401625,0.9150848450626167,-4.654403393859086,7.964911317108052,21.9620362815028,Increasing — Not Significant
Sokoto,North West,0.07333333333333332,0.6272676336274836,0.9725551969943025,-3.421018839554766,7.462237710322398,23.34132472786326,Increasing — Not Significant
Niger,North Central,0.13999999999999996,0.34193860321562813,2.120150200947117,-2.7791190342503946,7.416310862539724,50.8836048227308,Increasing — Not Significant
Plateau,North Central,0.22666666666666663,0.11834341824544657,3.0057594647471433,-0.471115684934972,6.776083022873489,72.13822715393144,Increasing — Not Significant
Kwara,North Central,0.11333333333333331,0.4448568614280395,3.365811580671635,-3.3794462726844094,10.347538745508794,80.77947793611924,Increasing — Not Significant
Kano,North West,0.14666666666666664,0.3187493522432472,3.5019010206304366,-2.315247655156335,10.53161897570709,84.04562449513048,Increasing — Not Significant
Katsina,North West,0.1933333333333333,0.18505827477804032,3.699623479947687,-2.3439665897948507,8.105910147777422,88.79096351874449,Increasing — Not Significant
Nasarawa,North Central,0.23333333333333328,0.10755605480556475,4.685063749927394,-0.44375914590005194,9.768408190612355,112.44152999825747,Increasing — Not Significant
Jigawa,North West,0.3199999999999999,0.025387066467633498,5.170291562291498,0.9754662989664098,10.060694450336019,124.08699749499596,Significant Increasing
Bauchi,North East,0.3866666666666666,0.00631402755690959,5.176600532493195,1.6478191207426771,8.302628707551284,124.23841277983668,Significant Increasing
Borno,North East,0.3133333333333333,0.02876822528460094,5.246406648253375,0.8669994289574448,10.649435767896229,125.913759558081,Significant Increasing
Yobe,North East,0.41999999999999993,0.002838809542227846,5.878006302039464,2.3493715115888563,10.133329087178709,141.07215124894714,Significant Increasing
