State,Geo_Zone,Mean_Temp_2001_2025_C,Kendall_Tau,P_Value,Sen_Slope_C_per_Year,Slope_95CI_Lower,Slope_95CI_Upper,Estimated_2001_2025_Change_C,Trend
Kogi,North Central,25.903563611423632,0.5399999999999999,8.071280240832186e-05,0.03250959460530502,0.01635425993540913,0.05048025649951384,0.7802302705273204,Significant Warming
Nasarawa,North Central,26.376031052923576,0.4133333333333333,0.0033507212782298876,0.03040801746914834,0.011945469021322985,0.0531434309350202,0.7297924192595602,Significant Warming
Taraba,North East,25.67034413066942,0.37333333333333324,0.008520236731434604,0.029041847949742614,0.007786528057945663,0.04678944974027555,0.6970043507938227,Significant Warming
Kwara,North Central,26.00638804212787,0.5399999999999999,8.071280240832186e-05,0.028235653399853934,0.014976036991544817,0.0531649288064416,0.6776556815964945,Significant Warming
Benue,North Central,26.302750614212545,0.4466666666666666,0.0014179778893331951,0.028125098690461058,0.012101156853584705,0.05046002149052791,0.6750023685710653,Significant Warming
Niger,North Central,26.88765789334505,0.37999999999999995,0.007344866273000015,0.025161232237328114,0.00475656947123377,0.04990496388114973,0.6038695736958748,Significant Warming
Kaduna,North West,24.545956218352167,0.39333333333333326,0.005412547327037236,0.02331864858085199,0.005817262060113393,0.0416702281043877,0.5596475659404477,Significant Warming
Bauchi,North East,26.61543404509039,0.3199999999999999,0.025387066467633498,0.02277861816532311,0.0038628166636620167,0.04357434646755989,0.5466868359677546,Significant Warming
Plateau,North Central,25.14067149844094,0.2933333333333333,0.04125951957926039,0.021699757509196692,0.0009903406310601984,0.04233932281398158,0.5207941802207205,Significant Warming
Adamawa,North East,26.62739484230295,0.25333333333333324,0.07972026188701116,0.021146070434696837,-0.0035754373142760087,0.04279337677840983,0.5075056904327241,Warming — Not Significant
Kano,North West,27.02353718029854,0.20666666666666664,0.1556965251316672,0.01375499799207241,-0.004731498654576782,0.03905225226895247,0.33011995180973785,Warming — Not Significant
Gombe,North East,27.26496050352036,0.13999999999999996,0.34193860321562813,0.011737522787728966,-0.010274456915093013,0.034185695541828404,0.2817005469054952,Warming — Not Significant
Kebbi,North West,28.352134423472602,0.18666666666666662,0.20115677879053945,0.01153585648600115,-0.006198279237571806,0.03870538368685902,0.27686055566402756,Warming — Not Significant
Katsina,North West,27.111153785235174,0.13999999999999996,0.34193860321562813,0.010700262271503676,-0.011178944898495498,0.030358073603547486,0.2568062945160882,Warming — Not Significant
Jigawa,North West,28.632007428907023,0.11333333333333331,0.4448568614280395,0.010324553425153562,-0.015008546941168533,0.030937472261290067,0.24778928220368548,Warming — Not Significant
Zamfara,North West,27.373884651753414,0.07999999999999997,0.5947862336020772,0.007153484023036949,-0.01393211904811853,0.028887861031420492,0.17168361655288678,Warming — Not Significant
Borno,North East,29.116461779397223,0.019999999999999993,0.9080331814389776,0.00048642900910864334,-0.022014094687083485,0.02427194149155998,0.01167429621860744,Warming — Not Significant
Sokoto,North West,29.509564438461688,-0.09999999999999998,0.5021679313285716,-0.00258475046596786,-0.020856162295212144,0.015695617199795286,-0.06203401118322864,Cooling — Not Significant
Yobe,North East,29.231801118237332,-0.11333333333333331,0.4448568614280395,-0.013403853154650616,-0.027777738938440728,0.015782032587848605,-0.32169247571161474,Cooling — Not Significant
