State,Geo_Zone,NDVI_Tau,NDVI_P,NDVI_SenSlope,NDVI_CI_Lower,NDVI_CI_Upper,NDVI_Estimated_Change,NDVI_Trend,EVI_Tau,EVI_P,EVI_SenSlope,EVI_CI_Lower,EVI_CI_Upper,EVI_Estimated_Change,EVI_Trend
Niger,North Central,-0.6733333333333332,2.8704836098692065e-07,-0.0034677170037364924,-0.004632820236289553,-0.0028851078420504273,-0.08322520808967582,Significant Browning,-0.6133333333333332,4.762624265437232e-06,-0.0018204024166867346,-0.0022628192722299236,-0.0012320627403071798,-0.043689658000481635,Significant Browning
Adamawa,North East,-0.6999999999999998,6.894808806253613e-08,-0.0031459686589535726,-0.003778795677316717,-0.0023745729607715094,-0.07550324781488574,Significant Browning,-0.7066666666666666,4.732331594636342e-08,-0.0018911929732727626,-0.002374122723682833,-0.0014575495602919264,-0.0453886313585463,Significant Browning
Gombe,North East,-0.5933333333333333,1.0932248579248358e-05,-0.0026655921331572587,-0.003281702812187842,-0.001691180012660194,-0.0639742111957742,Significant Browning,-0.5866666666666666,1.4271783082036028e-05,-0.0014824890802775889,-0.0019714682953723083,-0.0009361438762448591,-0.035579737926662136,Significant Browning
Nasarawa,North Central,-0.5199999999999999,0.00015880897857935695,-0.0024784541197397526,-0.0033122104448719708,-0.001449104149264846,-0.05948289887375406,Significant Browning,-0.2666666666666666,0.0645854561274738,-0.0006724939046769383,-0.0015584496934114473,4.6409913832986695e-05,-0.01613985371224652,Browning — Not Significant
Kebbi,North West,-0.5799999999999998,1.853872631297424e-05,-0.0021571594409932017,-0.0028137223273493974,-0.001337150202775523,-0.05177182658383684,Significant Browning,-0.6266666666666666,2.6630155167514518e-06,-0.0015380601407065267,-0.002194758999680477,-0.0010514235251065235,-0.03691344337695664,Significant Browning
Kwara,North Central,-0.5999999999999999,8.331428345950857e-06,-0.0016978622259208333,-0.002526752247294674,-0.0010003033458627747,-0.040748693422099996,Significant Browning,-0.12666666666666662,0.3913909170309529,-0.000404427078216937,-0.001055364262718674,0.00041411468913239913,-0.009706249877206488,Browning — Not Significant
Taraba,North East,-0.5666666666666667,3.0830988230961115e-05,-0.001644220486346212,-0.0023122053029701706,-0.000950194525061443,-0.03946129167230909,Significant Browning,-0.3133333333333333,0.02876822528460094,-0.000721817941453919,-0.00127592634877569,-5.423863190078943e-05,-0.017323630594894057,Significant Browning
Bauchi,North East,-0.5266666666666665,0.00012725626615342077,-0.0014158430777653378,-0.0021848858136402174,-0.0007383667543146566,-0.03398023386636811,Significant Browning,-0.43999999999999995,0.0016947235531532155,-0.0009047788498001106,-0.0014397396398979744,-0.0003766288915417748,-0.021714692395202653,Significant Browning
Plateau,North Central,-0.41999999999999993,0.002838809542227846,-0.0013557295589290252,-0.0025017630105358957,-0.0004926044232246712,-0.0325375094142966,Significant Browning,-0.3133333333333333,0.02876822528460094,-0.0010109561896374018,-0.0016135230346450231,-0.0001450676789932231,-0.024262948551297646,Significant Browning
Kaduna,North West,-0.3999999999999999,0.004626487263179452,-0.00097114267390145,-0.0014539379685942545,-0.000309971441181824,-0.0233074241736348,Significant Browning,-0.23999999999999996,0.09754603408321157,-0.00039351893791239546,-0.0009348810557848808,0.0001550748823471845,-0.00944445450989749,Browning — Not Significant
Benue,North Central,-0.19999999999999996,0.16991295403230983,-0.000643844526794389,-0.0013879979579709083,0.00022685283465003053,-0.015452268643065335,Browning — Not Significant,-0.25999999999999995,0.07183422315251489,-0.0005164337715191127,-0.001161561484955216,6.0707262363436654e-05,-0.012394410516458704,Browning — Not Significant
Kogi,North Central,-0.21999999999999997,0.12994145940142376,-0.00034295695947637785,-0.0008584841862287732,0.00014060924334585723,-0.008230967027433068,Browning — Not Significant,0.0,1.0,-4.2443622164420065e-07,-0.000492437337046403,0.0006275150814707328,-1.0186469319460816e-05,Browning — Not Significant
Yobe,North East,0.11999999999999998,0.4176309114337012,0.0003300718528996907,-0.0005533637387906983,0.0012309411435136308,0.007921724469592576,Greening — Not Significant,0.15999999999999995,0.27546798247377474,0.00040203412047906174,-0.0002744170553102746,0.0009464858505002505,0.009648818891497482,Greening — Not Significant
Kano,North West,0.20666666666666664,0.1556965251316672,0.00044625766016845314,-0.00025687364272287077,0.0013400935507150355,0.010710183844042875,Greening — Not Significant,0.11333333333333331,0.4448568614280395,0.00016335098227394148,-0.00028506615291112625,0.0006563522439880915,0.0039204235745745955,Greening — Not Significant
Sokoto,North West,0.2866666666666666,0.04630991896491626,0.0012229623530926152,2.9596409863680978e-05,0.002743844655471793,0.029351096474222765,Significant Greening,0.33333333333333326,0.019623905415578614,0.0007583710821811218,8.477888867246726e-05,0.0014355449645899342,0.01820090597234692,Significant Greening
Jigawa,North West,0.27333333333333326,0.05793851587552164,0.001282009367283798,-5.4423621986195286e-05,0.0022670286920569217,0.030768224814811153,Greening — Not Significant,0.2666666666666666,0.0645854561274738,0.0007083805343806621,-6.248630631217056e-05,0.0013804476815472847,0.017001132825135892,Greening — Not Significant
Zamfara,North West,0.33333333333333326,0.019623905415578614,0.0016486998241389457,0.0002851845253495618,0.0029804091398922977,0.0395687957793347,Significant Greening,0.27333333333333326,0.05793851587552164,0.0007245183827438213,-3.819311095472237e-05,0.001501307937603951,0.01738844118585171,Greening — Not Significant
Katsina,North West,0.43999999999999995,0.0016947235531532155,0.0022373504479708565,0.0007547806811842003,0.002893056558202965,0.053696410751300556,Significant Greening,0.3533333333333333,0.013084783660559913,0.0009567524384419999,0.00011490782877772535,0.0016126011231718806,0.022962058522608,Significant Greening
Borno,North East,0.4933333333333333,0.0003703961992610722,0.0024946888396918223,0.0012138573181283974,0.00371976445515061,0.059872532152603734,Significant Greening,0.4733333333333333,0.0006723102178477008,0.0013063016228276971,0.0005865548145180911,0.0019919386449891883,0.031351238947864735,Significant Greening
