Year,Period,Mean_NDVI,Mean_EVI
2001,May-Oct,0.5335629670123863,0.3552102396245933
2002,May-Oct,0.5279973839008126,0.35269212611008877
2003,May-Oct,0.5352235115247719,0.35489824140483284
2004,May-Oct,0.5310204480712335,0.3528353963873362
2005,May-Oct,0.5405056353369248,0.3622399071654611
2006,May-Oct,0.5371122814944963,0.36097798947724885
2007,May-Oct,0.5262453085286508,0.3484605078834832
2008,May-Oct,0.5134546024034096,0.34397610378084276
2009,May-Oct,0.5220408111786375,0.35176053468490004
2010,May-Oct,0.5191667727266562,0.34946382228128975
2011,May-Oct,0.5219534438784336,0.3532481766346875
2012,May-Oct,0.5278278647169761,0.34996475481067935
2013,May-Oct,0.5183064650968637,0.342993727357164
2014,May-Oct,0.5221703812445873,0.3524036450843343
2015,May-Oct,0.4975572423630847,0.3378015805455317
2016,May-Oct,0.5130977076857413,0.344100484796433
2017,May-Oct,0.5158177951780346,0.3480387974812065
2018,May-Oct,0.5244476703628225,0.3528724831178564
2019,May-Oct,0.5251078815459868,0.3552608148588124
2020,May-Oct,0.5140303566327903,0.3438220172933886
2021,May-Oct,0.5082565699769459,0.34106159161534416
2022,May-Oct,0.5092750205212291,0.3435982269495756
2023,May-Oct,0.5255512234791079,0.357731382682913
2024,May-Oct,0.5190152855298106,0.3458832245255738
2025,May-Oct,0.5269276683791273,0.3483168579213598
