Year,Period,Mean_Rainfall_mm
2001,May-Oct,908.9191582558747
2002,May-Oct,958.3294727880634
2003,May-Oct,986.8743142432762
2004,May-Oct,940.721324749123
2005,May-Oct,921.6194006299044
2006,May-Oct,1049.225954107225
2007,May-Oct,955.5938422138022
2008,May-Oct,1003.7692467351782
2009,May-Oct,956.5263609382598
2010,May-Oct,1022.0751290245784
2011,May-Oct,940.8490540490473
2012,May-Oct,1041.716857474597
2013,May-Oct,813.4445052450908
2014,May-Oct,884.6277545411468
2015,May-Oct,925.7047680593582
2016,May-Oct,946.4838766100897
2017,May-Oct,919.1924450326235
2018,May-Oct,1031.9539015077105
2019,May-Oct,1076.4487894332867
2020,May-Oct,1028.170604647176
2021,May-Oct,981.5851602508125
2022,May-Oct,993.3152727929524
2023,May-Oct,1010.8370255370298
2024,May-Oct,1020.5638109454403
2025,May-Oct,976.2187289907639
