Date,Year,Month,Rainfall_mm,P_3month,P_6month,SPI_3,SPI_6,SPI3_Class,SPI6_Class
2001-01-01,2001,1,0.54872161169157,3.320356453997239,524.1992861852607,-0.6721545053716591,0.040315857661624266,Near Normal,Near Normal
2001-02-01,2001,2,1.4091052693178863,2.934175670239763,278.47641551929803,-0.12484130535816393,0.00160261668433341,Near Normal,Near Normal
2001-03-01,2001,3,8.167927095260227,10.125753976269456,94.4143963517484,-0.9043588695589805,-0.12924032276468142,Near Normal,Near Normal
2001-04-01,2001,4,51.811799720748816,61.3888320853267,64.7091885393244,0.35485568907875936,0.2458686434553746,Near Normal,Near Normal
2001-05-01,2001,5,108.2753830400356,168.25510985604444,171.18928552628464,0.5443249600685061,0.5538133314457869,Near Normal,Near Normal
2001-06-01,2001,6,142.291928533315,302.3791112940992,312.5048652703691,0.7274370699452675,0.5722231438018333,Near Normal,Near Normal
2001-07-01,2001,7,198.92659769811635,449.49390927146675,510.8827413567939,0.39817431384571744,0.4496673008035487,Near Normal,Near Normal
2001-08-01,2001,8,213.9417970383566,555.1603232697878,723.4154331258326,-0.634459571373849,-0.2578086088753815,Near Normal,Near Normal
2001-09-01,2001,9,199.61325727614886,612.4816520126217,914.8607633067213,-0.5181844820775315,-0.026296211036555772,Near Normal,Near Normal
2001-10-01,2001,10,45.87019466990226,459.4252489844076,908.9191582558747,-1.0937793517085206,-0.646023053683785,Moderately Dry,Near Normal
2001-11-01,2001,11,0.7603644290268302,246.24381637507776,801.4041396448658,-0.7514053449258479,-0.8401394781791456,Near Normal,Near Normal
2001-12-01,2001,12,0.5878745552926525,47.21843365422154,659.7000856668436,-1.4832452890964722,-0.9903900480500266,Moderately Dry,Near Normal
2002-01-01,2002,1,0.34559788273970676,1.6938368670589905,461.11908585146693,-2.074064237466057,-1.131205884089007,Extremely Dry,Moderately Dry
2002-02-01,2002,2,1.7837755607217107,2.717247998753871,248.96106437383202,-0.2816548960665475,-0.752771508715483,Near Normal,Near Normal
2002-03-01,2002,3,12.602967108882156,14.732340552343375,61.95077420656531,-0.036136257734874166,-1.5301843929728687,Near Normal,Severely Dry
2002-04-01,2002,4,55.554977249155876,69.94171991875955,71.63555678581893,0.9683551847707943,0.7523137178260424,Near Normal,Near Normal
2002-05-01,2002,5,77.01779737763337,145.1757417356712,147.89298973442547,-0.39103253204762123,-0.39383533898809203,Near Normal,Near Normal
2002-06-01,2002,6,140.35759517551543,272.9303698023045,287.66271035464825,-0.18104042807426068,-0.2251823599153103,Near Normal,Near Normal
2002-07-01,2002,7,224.9399872963271,442.3153798494757,512.2570997682357,0.19953783173143655,0.4834038321957056,Near Normal,Near Normal
2002-08-01,2002,8,229.5240674725647,594.821649944407,739.9973916800786,0.3618834500014315,0.08415216500225754,Near Normal,Near Normal
2002-09-01,2002,9,194.04805591309923,648.5121106819909,921.4424804842957,0.2461165915133566,0.08231100469192824,Near Normal,Near Normal
2002-10-01,2002,10,92.4419695529234,516.0140929385872,958.3294727880632,-0.036718493704761504,0.054521457028810935,Near Normal,Near Normal
2002-11-01,2002,11,3.552490472916246,290.04251593893866,884.8641658833461,0.329801457680904,0.39548622819781404,Near Normal,Near Normal
2002-12-01,2002,12,0.5487972830783352,96.54325730891777,745.055367990909,0.4987922558315159,0.3717641268328244,Near Normal,Near Normal
2003-01-01,2003,1,0.9326057152914093,5.033893471285792,521.0479864098734,0.3526950591045152,-0.01589982199574032,Near Normal,Near Normal
2003-02-01,2003,2,2.560665840350857,4.042068838720402,294.0845847776595,0.573773699895193,0.37906904548077724,Near Normal,Near Normal
2003-03-01,2003,3,7.177142991510144,10.670414547152212,107.21367185607039,-0.7891382748182787,0.33244525575958944,Near Normal,Near Normal
2003-04-01,2003,4,50.634520878803485,60.37232971066429,65.40622318195048,0.2782603932629099,0.29841405841054525,Near Normal,Near Normal
2003-05-01,2003,5,88.01553375569256,145.82719762600598,149.8692664647268,-0.36331628546062666,-0.3097284482990176,Near Normal,Near Normal
2003-06-01,2003,6,164.2633009025679,302.9133555370637,313.5837700842163,0.743363624329178,0.605883849989189,Near Normal,Near Normal
2003-07-01,2003,7,209.35932732005227,461.6381619783125,522.0104916889773,0.7294689978193059,0.7211108648774562,Near Normal,Near Normal
2003-08-01,2003,8,265.86968561125514,639.4923138338751,785.3195114598815,1.4324795935096346,0.9935042829115054,Moderately Wet,Near Normal
2003-09-01,2003,9,201.23569100799585,676.464703939303,979.3780594763673,0.8197973850630043,1.0167667169632744,Near Normal,Moderately Wet
2003-10-01,2003,10,58.130775645715225,525.236152264966,986.874314243279,0.128083880818163,0.448306375134865,Near Normal,Near Normal
2003-11-01,2003,11,5.00827168626692,264.3747383399778,903.8670521738533,-0.28936334930852414,0.6658606595060481,Near Normal,Near Normal
2003-12-01,2003,12,0.46706851959804024,63.60611585157996,740.0708197908835,-0.7121832290259057,0.2951693412462268,Near Normal,Near Normal
2004-01-01,2004,1,0.9895293380478396,6.464869543912573,531.701021808879,1.0412595065226466,0.1732380936906117,Moderately Wet,Near Normal
2004-02-01,2004,2,1.0333721542415057,2.4899700118871584,266.8647083518654,-0.4553585444938378,-0.2884690648782621,Near Normal,Near Normal
2004-03-01,2004,3,6.170611977071181,8.1935134693603,71.79962932094071,-1.3517115569540314,-1.060758703221137,Moderately Dry,Moderately Dry
2004-04-01,2004,4,46.41595466240156,53.61993879371402,60.084808337627045,-0.25372656512040076,-0.11265486583104752,Near Normal,Near Normal
2004-05-01,2004,5,128.91326826871307,181.4998349081856,183.9898049200732,1.0430575682270635,1.0383969764271974,Moderately Wet,Moderately Wet
2004-06-01,2004,6,131.35716005773355,306.686382988848,314.8798964582087,0.8553166964240744,0.6462202087927164,Near Normal,Near Normal
2004-07-01,2004,7,215.64404172344513,475.9144700498915,529.534408843606,1.111613485167691,0.9024753331305754,Moderately Wet,Near Normal
2004-08-01,2004,8,225.749465116054,572.7506668972325,754.2505018054185,-0.18689436556650968,0.3740275386264319,Near Normal,Near Normal
2004-09-01,2004,9,174.04669575691446,615.4402025964133,922.1265855852619,-0.454311666205862,0.09356996001485642,Near Normal,Near Normal
2004-10-01,2004,10,65.01069382626571,464.806854699234,940.7213247491259,-0.9896125161863246,-0.19230048813635034,Near Normal,Near Normal
2004-11-01,2004,11,4.066638562047478,243.1240281452274,815.8746950424603,-0.8331955286929551,-0.6199341128088727,Near Normal,Near Normal
2004-12-01,2004,12,0.8057804335069887,69.88311282181995,685.3233154182338,-0.4532821443276911,-0.5696815558881072,Near Normal,Near Normal
2005-01-01,2005,1,0.8112865058621873,5.683705501416426,470.4905602006508,0.6794208171190809,-0.9506236229659029,Near Normal,Near Normal
2005-02-01,2005,2,3.1799889427427455,4.797055882111694,247.92108402733956,0.9797397696776641,-0.7804223673418886,Near Normal,Near Normal
2005-03-01,2005,3,15.327987800794512,19.319263249399217,89.20237607121962,0.6612949338585052,-0.3292676435399342,Near Normal,Near Normal
2005-04-01,2005,4,37.01835692463173,55.52633366816876,61.21003916958564,-0.09920111834876713,-0.02376715440283465,Near Normal,Near Normal
2005-05-01,2005,5,90.47893172366466,142.82527644909067,147.6223323312028,-0.4917325249389685,-0.4054125916877932,Near Normal,Near Normal
2005-06-01,2005,6,143.84764259976367,271.3449312480598,290.6641944974595,-0.2317666688302325,-0.12645901162075068,Near Normal,Near Normal
2005-07-01,2005,7,209.42363612350243,443.7502104469305,499.27654411509974,0.23941155112257523,0.1623318172962219,Near Normal,Near Normal
2005-08-01,2005,8,225.4744124039484,578.7456911272143,721.5709675763054,-0.03645797212598225,-0.29616813134207365,Near Normal,Near Normal
2005-09-01,2005,9,174.34194931499698,609.2399978424476,880.5849290905079,-0.5884066935659317,-0.6004893165165143,Near Normal,Near Normal
2005-10-01,2005,10,78.05282846402788,477.86919018297306,921.619400629904,-0.740107657599362,-0.46357466150533083,Near Normal,Near Normal
2005-11-01,2005,11,3.3300850493881446,255.72486282841277,834.4705539556276,-0.5070472228560842,-0.34075811921272214,Near Normal,Near Normal
2005-12-01,2005,12,0.8711883966889508,82.25410191010475,691.4940997525528,0.014157287803460305,-0.46994373981554977,Near Normal,Near Normal
2006-01-01,2006,1,1.5394137295639168,5.740687175640785,483.60987735861426,0.7068750776237837,-0.7018422415777092,Near Normal,Near Normal
2006-02-01,2006,2,3.333799993711744,5.744402119964384,261.4692649483776,1.4343620028594328,-0.4261310174820771,Moderately Wet,Near Normal
2006-03-01,2006,3,13.704378672610636,18.577592395886068,100.83169430599128,0.5565721410875171,0.10712687993833289,Near Normal,Near Normal
2006-04-01,2006,4,22.465592533476666,39.50377119979882,45.24445837544006,-1.5330531300559087,-1.406753042914945,Severely Dry,Moderately Dry
2006-05-01,2006,5,112.3262345099556,148.49620571604268,154.2406078360075,-0.25062160189626465,-0.1262952242633514,Near Normal,Near Normal
2006-06-01,2006,6,128.34801099162644,263.13983803505846,281.717430430945,-0.49750731190843805,-0.42278306905251534,Near Normal,Near Normal
2006-07-01,2006,7,202.40685302338045,443.0810985249623,482.5848697247615,0.22082773289432542,-0.25881489606231906,Near Normal,Near Normal
2006-08-01,2006,8,280.52911840737687,611.2839824223836,759.7801881384266,0.7624428328500377,0.48550678119280005,Near Normal,Near Normal
2006-09-01,2006,9,223.04422637372468,705.9801978044818,969.1200358395407,1.4087307424414142,0.8540407605161772,Moderately Wet,Near Normal
2006-10-01,2006,10,102.57151080116151,606.1448555822628,1049.2259541072256,1.4977091433441028,1.2828726659402636,Moderately Wet,Moderately Wet
2006-11-01,2006,11,2.1688700230235085,327.78460719790945,939.0685896202934,1.1773245366761353,1.1569095430173744,Moderately Wet,Moderately Wet
2006-12-01,2006,12,0.3698336828993707,105.11021450708417,811.0904123115663,0.7669130074443922,1.3558419901677203,Near Normal,Moderately Wet
2007-01-01,2007,1,0.17413300357182468,2.7128367094944763,608.8576922917579,-1.1229318793406082,1.4732405542743396,Moderately Dry,Moderately Wet
2007-02-01,2007,2,3.2365500455776535,3.7805167320486213,331.56512392995853,0.42159699199046813,1.234203943956157,Near Normal,Moderately Wet
2007-03-01,2007,3,9.873708587098076,13.284391636247326,118.39460614333194,-0.2861892088863174,0.7066642620420427,Near Normal,Near Normal
2007-04-01,2007,4,52.2073543895031,65.3176130221786,68.03044973167354,0.6432381549845492,0.4929709691407591,Near Normal,Near Normal
2007-05-01,2007,5,110.88380058522857,172.96486356182953,176.74538029387858,0.7245484330848357,0.7669898330942437,Near Normal,Near Normal
2007-06-01,2007,6,122.23687463643112,285.3280296111626,298.61242124741034,0.2090003151470888,0.1317258437781991,Near Normal,Near Normal
2007-07-01,2007,7,186.4223521029173,419.54302732457677,484.8606403467558,-0.4451830142736139,-0.20082860668886754,Near Normal,Near Normal
2007-08-01,2007,8,269.54868641765796,578.2079131570061,751.1727767188361,-0.04991016187045334,0.311744472926914,Near Normal,Near Normal
2007-09-01,2007,9,185.66163001561586,641.6326685361909,926.9606981473539,0.10241420185872385,0.17297127085418135,Near Normal,Near Normal
2007-10-01,2007,10,80.840498455952,536.0508148892256,955.5938422138029,0.3189096150615127,0.01637438582499915,Near Normal,Near Normal
2007-11-01,2007,11,3.81358181028235,270.31571028185,848.5236234388566,-0.14260127819794088,-0.1325289209879732,Near Normal,Near Normal
2007-12-01,2007,12,0.8801425921270892,85.53422285836122,727.1668913945526,0.13007983628348405,0.09527361781957276,Near Normal,Near Normal
2008-01-01,2008,1,0.6802601937546721,5.373984596163885,541.4247994853899,0.5269446814708176,0.34368708875908294,Near Normal,Near Normal
2008-02-01,2008,2,0.45854208031408694,2.018944866195621,272.33465514804607,-0.8534423191763257,-0.1507952779371955,Near Normal,Near Normal
2008-03-01,2008,3,9.435447569805403,10.574249843873934,96.1084727022356,-0.8091814361136589,-0.06582437210387208,Near Normal,Near Normal
2008-04-01,2008,4,37.9116034950157,47.805593145134964,53.1795777412993,-0.749122996567111,-0.6841699732258787,Near Normal,Near Normal
2008-05-01,2008,5,122.7323941357751,170.07944520059596,172.09839006679204,0.614526316841169,0.5890040446011217,Near Normal,Near Normal
2008-06-01,2008,6,144.10906353786464,304.7530611686552,315.32731101252955,0.7980658819119962,0.6601184922364113,Near Normal,Near Normal
2008-07-01,2008,7,208.149773546304,474.99123121994353,522.7968243650789,1.0871319415429967,0.7401462725375929,Moderately Wet,Near Normal
2008-08-01,2008,8,289.06315092873274,641.3219880129011,811.4014332134975,1.4752585496694726,1.501109874322096,Moderately Wet,Severely Wet
2008-09-01,2008,9,178.7300196526765,675.942944127713,980.6960052963686,0.809234752659488,1.0375915887765044,Near Normal,Moderately Wet
2008-10-01,2008,10,60.9848449338243,528.7780155152333,1003.7692467351773,0.1908660258561746,0.6778187118235579,Near Normal,Near Normal
2008-11-01,2008,11,1.3555338619268196,241.0703984484274,882.3923864613289,-0.8874215866331115,0.36003481096140566,Near Normal,Near Normal
