Asset_Type,File,Relative_Path,Exists,Size_KB
Final Map,01_Northern_Nigeria_Final_Corrected_NDVI_Trend.png,01_Final_Maps/01_Northern_Nigeria_Final_Corrected_NDVI_Trend.png,True,459.146484375
Final Map,02_Northern_Nigeria_Final_Corrected_Rainfall_Trend.png,01_Final_Maps/02_Northern_Nigeria_Final_Corrected_Rainfall_Trend.png,True,466.2080078125
Final Map,03_Northern_Nigeria_Final_Vegetation_Rainfall_Decoupling.png,01_Final_Maps/03_Northern_Nigeria_Final_Vegetation_Rainfall_Decoupling.png,True,558.986328125
Final Map,04_Northern_Nigeria_Final_LandChange_Evidence.png,01_Final_Maps/04_Northern_Nigeria_Final_LandChange_Evidence.png,True,464.890625
Final Map,05_Northern_Nigeria_Final_Integrated_Interpretation_Robustness.png,01_Final_Maps/05_Northern_Nigeria_Final_Integrated_Interpretation_Robustness.png,True,459.5283203125
Final Chart,01_Final_NDVI_Trend_Slopes_by_GAEZ_Stratum.png,02_Final_Charts/01_Final_NDVI_Trend_Slopes_by_GAEZ_Stratum.png,True,171.6220703125
Final Chart,02_Final_Rainfall_Trend_Slopes_by_GAEZ_Stratum.png,02_Final_Charts/02_Final_Rainfall_Trend_Slopes_by_GAEZ_Stratum.png,True,155.9658203125
Final Chart,03_Final_Vegetation_Rainfall_Regime_Distribution.png,02_Final_Charts/03_Final_Vegetation_Rainfall_Regime_Distribution.png,True,103.798828125
Final Chart,04_Final_LandCover_Change_by_GAEZ_Stratum.png,02_Final_Charts/04_Final_LandCover_Change_by_GAEZ_Stratum.png,True,185.0322265625
Final Chart,05_Final_Forest_Loss_by_GAEZ_Stratum.png,02_Final_Charts/05_Final_Forest_Loss_by_GAEZ_Stratum.png,True,161.9111328125
Final Chart,06_Final_Integrated_Interpretation_Robustness.png,02_Final_Charts/06_Final_Integrated_Interpretation_Robustness.png,True,157.30078125
Final Table,R7_Authoritative_Key_Findings.csv,03_Final_Tables/R7_Authoritative_Key_Findings.csv,True,1.474609375
Final Table,R7_Authoritative_Project_Statistics.csv,03_Final_Tables/R7_Authoritative_Project_Statistics.csv,True,0.8388671875
Final Table,R7_Final_Public_Interpretation.txt,03_Final_Tables/R7_Final_Public_Interpretation.txt,True,0.94921875
Final Table,R7_Final_Stratum_Statistics.csv,03_Final_Tables/R7_Final_Stratum_Statistics.csv,True,2.7119140625
Final GIS,Northern_Nigeria_GAEZ_Authoritative_Results_FINAL.gpkg,04_Final_GIS/Northern_Nigeria_GAEZ_Authoritative_Results_FINAL.gpkg,True,172.0
